<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19940802,000000,7.84618,7.84618,7.84618,7.84618,366252.19889359,0
CDR,D,19940803,000000,8.61783,8.61783,8.61783,8.61783,343129.90585043,0
CDR,D,19940804,000000,9.47245,9.47245,9.47245,9.47245,375104.20648975,0
CDR,D,19940808,000000,8.61783,8.61783,8.61783,8.61783,278157.74952823,0
CDR,D,19940809,000000,10.1716,10.1716,10.1716,10.1716,142910.02693367,0
CDR,D,19940810,000000,9.59432,9.59432,9.59432,9.59432,164880.56415126,0
CDR,D,19940811,000000,9.39834,9.39834,9.39834,9.39834,134896.96525498,0
CDR,D,19940816,000000,9.98532,9.98532,9.98532,9.98532,85930.420165046,0
CDR,D,19940817,000000,10.4865,10.4865,10.4865,10.4865,87006.281127667,0
CDR,D,19940818,000000,9.43539,9.43539,9.43539,9.43539,57554.971878284,0
CDR,D,19940822,000000,9.79031,9.79031,9.79031,9.79031,110811.62793737,0
CDR,D,19940823,000000,9.00823,9.00823,9.00823,9.00823,72209.859671306,0
CDR,D,19940824,000000,8.81294,8.81294,8.81294,8.81294,80180.871493503,0
CDR,D,19940825,000000,7.92068,7.92068,7.92068,7.92068,67594.63151898,0
CDR,D,19940829,000000,8.58058,8.58058,8.58058,8.58058,93645.030423225,0
CDR,D,19940830,000000,8.54343,8.54343,8.54343,8.54343,60759.991428511,0
CDR,D,19940831,000000,8.04139,8.04139,8.04139,8.04139,49335.763342119,0
CDR,D,19940901,000000,7.84618,7.84618,7.84618,7.84618,71904.229006997,0
CDR,D,19940905,000000,7.45569,7.45569,7.45569,7.45569,45486.663063077,0
CDR,D,19940906,000000,6.70277,6.70277,6.70277,6.70277,39820.188498276,0
CDR,D,19940907,000000,6.04268,6.04268,6.04268,6.04268,165450.80122964,0
CDR,D,19940908,000000,6.61911,6.61911,6.61911,6.61911,91575.35699847,0
CDR,D,19940912,000000,7.26058,7.26058,7.26058,7.26058,114679.18912902,0
CDR,D,19940913,000000,6.54472,6.54472,6.54472,6.54472,172594.14880318,0
CDR,D,19940914,000000,6.65626,6.65626,6.65626,6.65626,71568.855761261,0
CDR,D,19940915,000000,6.52608,6.52608,6.52608,6.52608,41503.208364492,0
CDR,D,19940919,000000,6.50757,6.50757,6.50757,6.50757,57942.651043079,0
CDR,D,19940920,000000,5.86599,5.86599,5.86599,5.86599,66746.455145207,0
CDR,D,19940921,000000,5.33616,5.33616,5.33616,5.33616,94606.023485165,0
CDR,D,19940922,000000,5.54988,5.54988,5.54988,5.54988,83718.187470697,0
CDR,D,19940926,000000,5.40119,5.40119,5.40119,5.40119,52642.317911696,0
CDR,D,19940927,000000,5.01089,5.01089,5.01089,5.01089,59636.952578112,0
CDR,D,19940928,000000,5.01089,5.01089,5.01089,5.01089,107453.79305499,0
CDR,D,19940929,000000,5.29901,5.29901,5.29901,5.29901,53904.839212922,0
CDR,D,19941003,000000,5.82885,5.82885,5.82885,5.82885,110315.23450943,0
CDR,D,19941004,000000,5.88472,5.88472,5.88472,5.88472,130626.34080469,0
CDR,D,19941005,000000,6.47032,6.47032,6.47032,6.47032,84553.030963141,0
CDR,D,19941006,000000,6.36814,6.36814,6.36814,6.36814,105368.73553639,0
CDR,D,19941007,000000,6.48893,6.48893,6.48893,6.48893,86535.527856129,0
CDR,D,19941010,000000,6.36814,6.36814,6.36814,6.36814,55043.262157163,0
CDR,D,19941011,000000,6.07992,6.07992,6.07992,6.07992,57413.438214946,0
CDR,D,19941012,000000,6.07992,6.07992,6.07992,6.07992,50845.455751057,0
CDR,D,19941013,000000,5.47559,5.47559,5.47559,5.47559,92664.550842419,0
CDR,D,19941014,000000,5.99626,5.99626,5.99626,5.99626,133512.39680928,0
CDR,D,19941017,000000,6.27511,6.27511,6.27511,6.27511,96020.334512288,0
CDR,D,19941018,000000,6.47032,6.47032,6.47032,6.47032,94706.53289826,0
CDR,D,19941019,000000,6.36814,6.36814,6.36814,6.36814,46601.497063428,0
CDR,D,19941020,000000,6.2566,6.2566,6.2566,6.2566,124196.81518537,0
CDR,D,19941021,000000,5.94049,5.94049,5.94049,5.94049,63148.628398905,0
CDR,D,19941024,000000,5.49421,5.49421,5.49421,5.49421,62398.910225715,0
CDR,D,19941025,000000,5.56851,5.56851,5.56851,5.56851,48210.673279207,0
CDR,D,19941026,000000,5.5965,5.5965,5.5965,5.5965,119850.29587214,0
CDR,D,19941027,000000,5.29901,5.29901,5.29901,5.29901,33685.01187445,0
CDR,D,19941028,000000,5.18737,5.18737,5.18737,5.18737,29516.948049771,0
CDR,D,19941102,000000,5.70804,5.70804,5.70804,5.70804,43634.41816461,0
CDR,D,19941103,000000,5.65216,5.65216,5.65216,5.65216,17996.312975307,0
CDR,D,19941104,000000,5.63365,5.63365,5.63365,5.63365,47185.067023134,0
CDR,D,19941107,000000,5.5965,5.5965,5.5965,5.5965,36970.028712651,0
CDR,D,19941108,000000,5.5965,5.5965,5.5965,5.5965,21313.123607445,0
CDR,D,19941109,000000,5.61501,5.61501,5.61501,5.61501,55243.255377097,0
CDR,D,19941110,000000,5.61501,5.61501,5.61501,5.61501,47332.754324008,0
CDR,D,19941114,000000,5.5965,5.5965,5.5965,5.5965,39223.285657242,0
CDR,D,19941115,000000,5.18737,5.18737,5.18737,5.18737,44353.368150117,0
CDR,D,19941116,000000,5.18737,5.18737,5.18737,5.18737,74747.20954883,0
