<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,D,20161019,000000,39.8354,39.9114,36.2296,38.5257,73065.11385520267,0
PLW,D,20161020,000000,38.3712,38.5257,37.0305,38.5257,8563.571348619773,0
PLW,D,20161021,000000,37.8324,38.5257,37.8165,38.4865,1583.8955535053765,0
PLW,D,20161024,000000,38.5257,40.8378,38.4789,40.4052,11836.716052537911,0
PLW,D,20161025,000000,40.4518,40.4518,39.2958,40.2206,9911.618509048383,0
PLW,D,20161026,000000,40.0668,40.0668,38.9108,38.9108,1913.1255438409614,0
PLW,D,20161027,000000,39.2958,39.2958,38.1398,39.2884,348.3851897732915,0
PLW,D,20161028,000000,38.6102,39.1422,38.6102,39.1422,258.5951924090411,0
PLW,D,20161031,000000,38.5257,40.0593,38.5257,40.0519,1922.7031435598146,0
PLW,D,20161102,000000,40.0593,40.0668,39.1889,39.9891,678.8123800737329,0
PLW,D,20161103,000000,39.9891,39.9891,39.1806,39.681,612.9663820066158,0
PLW,D,20161104,000000,39.6041,39.6041,38.717,39.2958,161.6219952556507,0
PLW,D,20161107,000000,39.2958,39.2958,38.9108,39.2725,553.1063837637822,0
PLW,D,20161108,000000,39.2725,39.2725,38.7338,38.9885,61.057198207690256,0
PLW,D,20161109,000000,39.219,39.2958,38.7563,39.2958,836.8427754348136,0
PLW,D,20161110,000000,39.2958,39.2958,38.3712,39.0653,1301.356361799202,0
PLW,D,20161114,000000,39.2958,39.2958,39.219,39.219,154.43879546651067,0
PLW,D,20161115,000000,39.2106,39.2106,38.3712,38.9108,1684.460350553337,0
PLW,D,20161116,000000,38.9108,38.9108,37.7623,38.9108,472.8939861183853,0
PLW,D,20161117,000000,39.219,39.219,37.6011,37.6011,1088.2547680547145,0
PLW,D,20161118,000000,37.7547,37.7547,36.2362,36.2362,2117.846737831452,0
PLW,D,20161121,000000,36.1436,36.1436,34.7886,35.436,1907.139544016678,0
PLW,D,20161122,000000,34.7886,35.436,34.7886,34.8421,1497.697156035696,0
